COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_MF	p_M	N_MF	N_M
Ribonuclease PH (Rph) (PDB:1UDO)	0	1	1	NA	COG0689	GC_00000390	1	1	1	1
3-methyladenine DNA glycosylase Tag (Tag) (PDB:1LMZ)	0	1	1	NA	COG2818	GC_00000809	1	1	1	1
Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)	0	1	1	NA	COG0388	GC_00000109, GC_00001817, GC_00002051, GC_00002856, GC_00003699	1	1	1	1
NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit (PreA)	0	1	1	NA	COG1146	GC_00000100	1	1	1	1
ABC-type sulfate transport system, permease component (CysU) (PDB:3D31)	0	1	1	NA	COG0555	GC_00002607	1	1	1	1
Sortase (surface protein transpeptidase) (SrtA) (PDB:1IJA)	0	1	1	NA	COG3764	GC_00000410, GC_00000658, GC_00002519	1	1	1	1
Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ (FliF) (PDB:6SCN)	0	1	1	NA	COG1766	GC_00000884	1	1	1	1
Beta-galactosidase GanA (GanA) (PDB:1KWG)	0	1	1	NA	COG1874	GC_00001874, GC_00002786	1	1	1	1
ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	0	1	1	NA	COG1175	GC_00000128, GC_00000255, GC_00000411, GC_00001087, GC_00001545, GC_00001548, GC_00001948, GC_00002009, GC_00002209, GC_00002412, GC_00002906, GC_00003397	1	1	1	1
Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ)	0	1	1	NA	COG2217	GC_00002116, GC_00002131	1	1	1	1
Polyprenyltransferase (heme O synthase) (CyoE)	0	1	1	NA	COG0109	GC_00002859	1	1	1	1
Double Era-like domain GTPase Der (Der) (PDB:1MKY)	0	1	1	NA	COG1160	GC_00000758	1	1	1	1
Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)!!!Uncharacterized conserved protein, cupin superfamily	0	1	1	NA	COG1396!!!COG3837	GC_00000755	1	1	1	1
Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase (BcsA) (PDB:4HG6)	0	1	1	NA	COG1215	GC_00000515, GC_00000852, GC_00001594, GC_00002114, GC_00002312, GC_00002932	1	1	1	1
Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain (YkwD) (PDB:1CFE) (PUBMED:31199835)	0	1	1	NA	COG2340	GC_00001760	1	1	1	1
Glutamate 5-kinase (ProB) (PDB:2W21)	0	1	1	NA	COG0263	GC_00003143	1	1	1	1
Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family	0	1	1	NA	COG5305	GC_00001865	1	1	1	1
Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases (Cof) (PDB:1YMQ)	0	1	1	NA	COG0561	GC_00000357, GC_00002071, GC_00002747	1	1	1	1
Predicted Zn-dependent protease, minimal metalloprotease (MMP)-like domain (PDB:3E11)	0	1	1	NA	COG3824	GC_00000963, GC_00001636	1	1	1	1
Putative NADH-flavin reductase (YwnB) (PDB:3EW7)	0	1	1	NA	COG2910	GC_00000536, GC_00002686	1	1	1	1
Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)	0	1	1	NA	COG1529	GC_00002268, GC_00003005	1	1	1	1
Sugar-P-sugar glycosidase (uncovering enzyme, UCE), NAGPA superfamily (NAGPA) (PDB:3OHG) (PUBMED:23572527)	0	1	1	NA	COG4632	GC_00003515	1	1	1	1
Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)!!!BioD-like N-terminal domain of phosphotransacetylase (PtaN) (PDB:2IOJ)	0	1	1	NA	COG0280!!!COG0857	GC_00003453	1	1	1	1
Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)	0	1	1	NA	COG0586	GC_00000398, GC_00000458, GC_00000614, GC_00000692, GC_00001387, GC_00001618, GC_00003043	1	1	1	1
Very-short-patch-repair endonuclease (YcjD) (PDB:3HRL)	0	1	1	NA	COG2852	GC_00000102, GC_00000123, GC_00001002, GC_00001416, GC_00002901, GC_00003066	1	1	1	1
Transaldolase/fructose-6-phosphate aldolase (TalA) (PDB:1F05)	0	1	1	NA	COG0176	GC_00002839	1	1	1	1
V8-like Glu-specific endopeptidase (eMpr)	0	1	1	NA	COG3591	GC_00000141	1	1	1	1
Phosphate/sulfate permease (PitA) (PUBMED:31358606)	0	1	1	NA	COG0306	GC_00000429, GC_00001725	1	1	1	1
Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)	0	1	1	NA	COG3706	GC_00001903	1	1	1	1
Ribosomal protein S13 (RpsM) (PDB:4V4H)	0	1	1	NA	COG0099	GC_00001657	1	1	1	1
Predicted N-acetyltransferase YhbS (yhbS) (PDB:4ZBG)	0	1	1	NA	COG3153	GC_00000221, GC_00000266, GC_00001968, GC_00002044, GC_00002086	1	1	1	1
Tryptophan synthase alpha chain (TrpA) (PDB:6HUL)	0	1	1	NA	COG0159	GC_00002405	1	1	1	1
Phosphatidate phosphatase APP1 (App1) (PUBMED:23071111)	0	1	1	NA	COG4850	GC_00002605	1	1	1	1
Broad specificity phosphatase PhoE (PhoE) (PDB:1EBB)	0	1	1	NA	COG0406	GC_00000942, GC_00000943, GC_00001741, GC_00002411, GC_00003009, GC_00003298, GC_00004000	1	1	1	1
Predicted naringenin-chalcone synthase (BH0617) (PDB:1BI5)	0	1	1	NA	COG3424	GC_00000199	1	1	1	1
Folate-dependent phosphoribosylglycinamide formyltransferase PurN (PurN) (PDB:1C2T) (PUBMED:25013077)	0	1	1	NA	COG0299	GC_00003326	1	1	1	1
4-alpha-glucanotransferase (MalQ) (PDB:1CWY)	0	1	1	NA	COG1640	GC_00002753	1	1	1	1
TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha (AcoA) (PDB:1DTW)	0	1	1	NA	COG1071	GC_00000185, GC_00001698, GC_00002157, GC_00003501, GC_00003827	1	1	1	1
RNase adaptor protein RapZ for GlmZ sRNA degradation, contains a P-loop ATPase domain (RapZ) (PDB:5O5O) (PUBMED:23475961)	0	1	1	NA	COG1660	GC_00001187	1	1	1	1
ssDNA abasic site-binding protein YedK/HMCES, SRAP family (SRAP) (PDB:1ZN6) (PUBMED:30554877;31504793)	0	1	1	NA	COG2135	GC_00001303	1	1	1	1
Predicted dinucleotide-binding enzyme (PDB:2VNS)	0	1	1	NA	COG2085	GC_00002011, GC_00002288, GC_00002342, GC_00002394, GC_00003021, GC_00003432, GC_00003539	1	1	1	1
DNA polymerase III, gamma/tau subunits (DnaX) (PDB:1A5T)	0	1	1	NA	COG2812	GC_00002439, GC_00003064	1	1	1	1
Sugar or nucleoside kinase, ribokinase family (RbsK) (PDB:2QCV)	0	1	1	NA	COG0524	GC_00000124, GC_00000416, GC_00001074, GC_00002023, GC_00003137, GC_00003228	1	1	1	1
Glutaredoxin (GrxC) (PDB:1AAZ)	0	1	1	NA	COG0695	GC_00000550, GC_00001577, GC_00001721, GC_00003604, GC_00003631	1	1	1	1
FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)	0	1	1	NA	COG1853	GC_00000761, GC_00001454, GC_00001607, GC_00002047	1	1	1	1
Hemoglobin-like flavoprotein (Hmp) (PDB:3OZU)!!!Flavodoxin/ferredoxin--NADP reductase (Fpr) (PDB:3OZU)	0	1	1	NA	COG1017!!!COG1018	GC_00003377	1	1	1	1
dTDP-4-dehydrorhamnose reductase (RfbD) (PDB:1KBZ)!!!dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme (RfbC) (PDB:1DZR)	0	1	1	NA	COG1091!!!COG1898	GC_00001439	1	1	1	1
Superfamily II DNA and RNA helicase (SrmB) (PDB:3RRM)	0	1	1	NA	COG0513	GC_00001996, GC_00002633, GC_00003346	1	1	1	1
Predicted molibdopterin-dependent oxidoreductase YjgC (YjgC) (PDB:1AA6)	0	1	1	NA	COG3383	GC_00002772, GC_00003425, GC_00003865	1	1	1	1
5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain (YciV) (PDB:3E0F) (PUBMED:25871919)	0	1	1	NA	COG0613	GC_00002677, GC_00002984	1	1	1	1
Phosphopantetheinyl transferase (Sfp) (PDB:1QR0)	0	1	1	NA	COG2091	GC_00000914	1	1	1	1
Predicted phosphoribosyltransferase	0	1	1	NA	COG1926	GC_00001007	1	1	1	1
Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase) (Cps2a) (PDB:2XXP) (PUBMED:29107701)	0	1	1	NA	COG1316	GC_00000107, GC_00001169, GC_00001891, GC_00003111	1	1	1	1
Uncharacterized membrane protein (PUBMED:15101977)	0	1	1	NA	COG3759	GC_00002478	1	1	1	1
D-alanyl-D-alanine carboxypeptidase (DacB) (PDB:1W5D)	0	1	1	NA	COG2027	GC_00002228	1	1	1	1
mRNA degradation ribonuclease J1/J2 (RnjA) (PDB:3T3N)	0	1	1	NA	COG0595	GC_00000586	1	1	1	1
AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	0	1	1	NA	COG2207	GC_00000469, GC_00001180, GC_00002068, GC_00002082	1	1	1	1
tRNA G46 N7-methylase TrmB (TrmB) (PDB:1YZH) (PUBMED:19373903;16600901)	0	1	1	NA	COG0220	GC_00003564	1	1	1	1
Glutamate dehydrogenase/leucine dehydrogenase (GdhA) (PDB:1B3B) (PUBMED:24391520)	0	1	1	NA	COG0334	GC_00000260	1	1	1	1
DNA-binding transcriptional regulator WhiA, involved in cell division (WhiA) (PDB:3HYI)	0	1	1	NA	COG1481	GC_00001558	1	1	1	1
Transcriptional and/or translational regulatory protein YebC/TACO1 (TACO1) (PDB:1KON)	0	1	1	NA	COG0217	GC_00002263	1	1	1	1
tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0)	0	1	1	NA	COG0566	GC_00000769, GC_00001641, GC_00002470, GC_00003429	1	1	1	1
Cyanate permease (CynX)	0	1	1	NA	COG2807	GC_00001476, GC_00001772, GC_00002308, GC_00003503, GC_00003787	1	1	1	1
Myo-inositol-1-phosphate synthase (INO1) (PDB:1GR0)	0	1	1	NA	COG1260	GC_00001583	1	1	1	1
Ribosomal protein S9 (RpsI) (PDB:4V4H)	0	1	1	NA	COG0103	GC_00002972	1	1	1	1
Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family (PdxI) (PDB:1LQA) (PUBMED:32253339)	0	1	1	NA	COG0667	GC_00000010, GC_00000095, GC_00000132, GC_00001238, GC_00001276, GC_00001446, GC_00001834, GC_00001867, GC_00001984, GC_00002179, GC_00002862, GC_00002979, GC_00003392, GC_00003826	1	1	1	1
Proline dehydrogenase (PutA) (PDB:5KF6)	0	1	1	NA	COG0506	GC_00003526	1	1	1	1
2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation) (PucL) (PDB:2O70)	0	1	1	NA	COG3195	GC_00000685	1	1	1	1
Ribosomal protein S14 (RpsN) (PDB:4V4H)	0	1	1	NA	COG0199	GC_00001554	1	1	1	1
Cytochrome b6 maturation protein CCB3/Ycf19 and related maturases, YggT family (Ycf19)	0	1	1	NA	COG0762	GC_00000186	1	1	1	1
Fic family protein (PDB:3CUC)	0	1	1	NA	COG3177	GC_00003482	1	1	1	1
Flagellar assembly factor FliW (FliW) (PDB:2AJ7)	0	1	1	NA	COG1699	GC_00000981	1	1	1	1
DNA polymerase III, alpha subunit (DnaE) (PDB:2HNH)	0	1	1	NA	COG0587	GC_00001258, GC_00002791	1	1	1	1
Uncharacterized membrane protein YeiH (YadS) (PDB:5WUC)	0	1	1	NA	COG2860	GC_00000752	1	1	1	1
FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase (LldD) (PDB:6AI7)	0	1	1	NA	COG1304	GC_00000295	1	1	1	1
ABC-type proline/glycine betaine transport system, permease component (OpuBB)	0	1	1	NA	COG1174	GC_00001209, GC_00003142	1	1	1	1
Isoleucyl-tRNA synthetase (IleS) (PDB:1FFY)	0	1	1	NA	COG0060	GC_00001155	1	1	1	1
Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	0	1	1	NA	COG1216	GC_00000433, GC_00000609, GC_00002138, GC_00003094, GC_00003484	1	1	1	1
Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	0	1	1	NA	COG0372	GC_00000955, GC_00002622	1	1	1	1
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)!!!RNA degradosome component RraA (regulator of RNase E activity) (RraA) (PDB:1J3L) (PUBMED:20471400)	0	1	1	NA	COG0179!!!COG0684	GC_00003578	1	1	1	1
NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family (YrpB)	0	1	1	NA	COG2070	GC_00003416	1	1	1	1
DNA repair protein RadA/Sms, contains AAA+ ATPase domain (Sms) (PDB:5LKM) (PUBMED:30877841)	0	1	1	NA	COG1066	GC_00000668	1	1	1	1
Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit (NuoL) (PDB:3RKO)!!!Multisubunit Na+/H+ antiporter, MnhB subunit (MnhB)	0	1	1	NA	COG1009!!!COG2111	GC_00002905	1	1	1	1
Dehydrogenase (flavoprotein) (FixC) (PDB:4OPU)	0	1	1	NA	COG0644	GC_00000970, GC_00001186	1	1	1	1
Multisubunit Na+/H+ antiporter, MnhG subunit (MnhG) (PDB:6CFW)	0	1	1	NA	COG1320	GC_00003023	1	1	1	1
ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component (FepC) (PDB:2NQ2)	0	1	1	NA	COG1120	GC_00001417	1	1	1	1
Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)	0	1	1	NA	COG2114	GC_00001807	1	1	1	1
Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains (OafA)	0	1	1	NA	COG1835	GC_00002522, GC_00002863	1	1	1	1
Proline dehydrogenase (PutA) (PDB:5KF6)!!!Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	0	1	1	NA	COG0506!!!COG1012	GC_00002742	1	1	1	1
Thiosulfate reductase cytochrome b subunit (YdhU)	0	1	1	NA	COG4117	GC_00001322	1	1	1	1
tRNA(Ile)-lysidine synthase TilS/MesJ (TilS) (PDB:1NI5) (PUBMED:21435031)	0	1	1	NA	COG0037	GC_00002658	1	1	1	1
Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)	0	1	1	NA	COG0612	GC_00002432	1	1	1	1
Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389)	0	1	1	NA	COG2246	GC_00000376, GC_00000698	1	1	1	1
DNA-binding transcriptional regulator, PadR family (PadR) (PDB:1XMA) (PUBMED:19096365)	0	1	1	NA	COG1695	GC_00000232, GC_00001152, GC_00001642, GC_00001670, GC_00003121, GC_00003140, GC_00003874	1	1	1	1
Uncharacterized conserved protein, contains SIS (Sugar ISomerase) phosphosugar binding domain (PDB:3CVJ) (PUBMED:17855421)	0	1	1	NA	COG4821	GC_00001820	1	1	1	1
Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)!!!Superfamily II DNA helicase RecQ (RecQ) (PDB:1OYW)	0	1	1	NA	COG0210!!!COG0514	GC_00003473	1	1	1	1
Ribosomal protein S17 (RpsQ) (PDB:4V4H)	0	1	1	NA	COG0186	GC_00000821	1	1	1	1
Imidazole glycerol phosphate synthase subunit HisF (HisF) (PDB:1OX4)	0	1	1	NA	COG0107	GC_00002422	1	1	1	1
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)	0	1	1	NA	COG0179	GC_00001021, GC_00001433, GC_00001841, GC_00002218, GC_00002676, GC_00002760, GC_00003154, GC_00004015, GC_00004161	1	1	1	1
Urease beta subunit (UreB)	0	1	1	NA	COG0832	GC_00000655	1	1	1	1
Cytidylate kinase (Cmk) (PDB:3R20) (PUBMED:19111750;25691594;28928205)	0	1	1	NA	COG0283	GC_00001724	1	1	1	1
Glycerol kinase (GlpK) (PDB:2ZF5)	0	1	1	NA	COG0554	GC_00000348	1	1	1	1
Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type) (PtsN) (PDB:2OQ3)	0	1	1	NA	COG1762	GC_00000374	1	1	1	1
ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)!!!Phosphohistidine phosphatase SixA (SixA) (PDB:1UJB)	0	1	1	NA	COG1051!!!COG2062	GC_00002661	1	1	1	1
Ribosomal protein L36 (RpmJ) (PDB:1DFE) (PUBMED:21627333)	0	1	1	NA	COG0257	GC_00000403, GC_00001313	1	1	1	1
Acetolactate synthase, small subunit (IlvH) (PDB:2F1F)	0	1	1	NA	COG0440	GC_00000479	1	1	1	1
Flagellar motor switch/type III secretory pathway protein FliN (FliN) (PDB:1O9Y)	0	1	1	NA	COG1886	GC_00000798	1	1	1	1
NADH pyrophosphatase NudC, Nudix superfamily (NPY1)	0	1	1	NA	COG2816	GC_00000592, GC_00001766	1	1	1	1
Methionyl-tRNA formyltransferase (Fmt) (PDB:1FMT)	0	1	1	NA	COG0223	GC_00002512	1	1	1	1
Molybdopterin synthase sulfur carrier subunit MoaD (MoaD) (PDB:1FM0) (PUBMED:32239579)	0	1	1	NA	COG1977	GC_00001790, GC_00002798	1	1	1	1
Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)	0	1	1	NA	COG2030	GC_00000130, GC_00000204, GC_00000589, GC_00000890, GC_00001368, GC_00002812	1	1	1	1
ABC-type proline/glycine betaine transport system, ATPase component (ProV)	0	1	1	NA	COG4175	GC_00001428	1	1	1	1
Na+/H+ antiporter NhaA (NhaA) (PDB:1ZCD) (PUBMED:25746996)	0	1	1	NA	COG3004	GC_00002892	1	1	1	1
H+/Cl- antiporter ClcA (ClcA) (PDB:1KPK)!!!CBS domain (CBS) (PDB:1B3O)	0	1	1	NA	COG0038!!!COG0517	GC_00002472	1	1	1	1
Lysyl-tRNA synthetase (class II) (LysU) (PDB:1BBU)	0	1	1	NA	COG1190	GC_00003396	1	1	1	1
sRNA-binding carbon storage regulator CsrA (CsrA) (PDB:1T3O)	0	1	1	NA	COG1551	GC_00000352	1	1	1	1
DNA-binding transcriptional regulator, FrmR family (FrmR) (PDB:2HH7)	0	1	1	NA	COG1937	GC_00000554, GC_00002868	1	1	1	1
tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE (TsaE) (PDB:1FL9)	0	1	1	NA	COG0802	GC_00002049	1	1	1	1
Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO)	0	1	1	NA	COG0151	GC_00003276	1	1	1	1
Urocanate hydratase (HutU) (PDB:1UWK)	0	1	1	NA	COG2987	GC_00002492	1	1	1	1
1,2-phenylacetyl-CoA epoxidase, PaaB subunit (PaaB) (PDB:3EGR)	0	1	1	NA	COG3460	GC_00002848	1	1	1	1
RecA/RadA recombinase (RecA) (PDB:1B22)	0	1	1	NA	COG0468	GC_00000464	1	1	1	1
Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits (RsfS) (PDB:6SJ6)	0	1	1	NA	COG0799	GC_00000849	1	1	1	1
Uncharacterized membrane protein YvlD, DUF360 family (YvlD)	0	1	1	NA	COG1950	GC_00001710	1	1	1	1
Esterase/lipase (YvaK) (PDB:4DIU)	0	1	1	NA	COG1647	GC_00003395	1	1	1	1
HPr or related phosphotransfer protein (PtsH) (PDB:1CM2)!!!Phosphotransferase subunit DhaM of the dihydroxyacetone kinase DhaKLM complex, contains PTS-EIIA, HPr, and PEP-utilizing domains (DhaM)	0	1	1	NA	COG1925!!!COG3412	GC_00003256	1	1	1	1
Uncharacterized conserved protein, contains GYD domain	0	1	1	NA	COG4274	GC_00003566	1	1	1	1
Predicted thiol-disulfide oxidoreductase YuxK, DCC family (YuxK) (PUBMED:15236740)	0	1	1	NA	COG3011	GC_00003253	1	1	1	1
Large-conductance mechanosensitive channel (MscL) (PDB:2OAR)	0	1	1	NA	COG1970	GC_00003387	1	1	1	1
DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)!!!FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)	0	1	1	NA	COG1414!!!COG1853	GC_00003605, GC_00004013	1	1	1	1
DNA-binding transcriptional regulator AlpA (AlpA)	0	1	1	NA	COG3311	GC_00000121, GC_00000983, GC_00002348, GC_00002441, GC_00003768, GC_00004069	1	1	1	1
Polyphosphate kinase 2, PPK2 family (PPK2) (PDB:3CZP)	0	1	1	NA	COG2326	GC_00003244	1	1	1	1
Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown)	0	1	1	NA	COG4315	GC_00003350	1	1	1	1
NADH dehydrogenase, FAD-containing subunit (Ndh) (PDB:5NA4)	0	1	1	NA	COG1252	GC_00000538, GC_00003186	1	1	1	1
Protoporphyrinogen IX oxidase, menaquinone-dependent (flavodoxin domain) (HemG) (PUBMED:17873039)	0	1	1	NA	COG4635	GC_00002735, GC_00004167	1	1	1	1
5-methylcytosine-specific restriction endonuclease McrBC, regulatory subunit McrC (McrC)	0	1	1	NA	COG4268	GC_00002265	1	1	1	1
ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)	0	1	1	NA	COG1079	GC_00000552	1	1	1	1
Uncharacterized membrane protein YraQ, UPF0718 family (YraQ)	0	1	1	NA	COG0701	GC_00000957	1	1	1	1
Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)	0	1	1	NA	COG0480	GC_00001278, GC_00002849	1	1	1	1
Protoporphyrinogen oxidase HemY/PPOX (HemY) (PDB:3LOV)	0	1	1	NA	COG1232	GC_00003091	1	1	1	1
Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase) (Pnp) (PDB:1E3P)	0	1	1	NA	COG1185	GC_00003072	1	1	1	1
Flagellar basal body rod protein FlgB (FlgB)	0	1	1	NA	COG1815	GC_00000492	1	1	1	1
Archaeal/vacuolar-type H+-ATPase subunit I/STV1 (NtpI) (PDB:2JTW)	0	1	1	NA	COG1269	GC_00002202	1	1	1	1
Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase (CelF) (PDB:1OBB)	0	1	1	NA	COG1486	GC_00003145	1	1	1	1
Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	0	1	1	NA	COG0665	GC_00002217, GC_00002321, GC_00002657, GC_00002920, GC_00003535	1	1	1	1
5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation) (AraD) (PDB:1FUA) (PUBMED:31950558)	0	1	1	NA	COG0235	GC_00002421	1	1	1	1
tRNA G37 N-methylase TrmD (TrmD) (PDB:1P9P)	0	1	1	NA	COG0336	GC_00001937	1	1	1	1
Nicotinate-nucleotide pyrophosphorylase (NadC) (PDB:1O4U)	0	1	1	NA	COG0157	GC_00000641	1	1	1	1
GTP cyclohydrolase I (FolE) (PDB:1A8R) (PUBMED:19767425;30692671)	0	1	1	NA	COG0302	GC_00000277	1	1	1	1
Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)	0	1	1	NA	COG0346	GC_00000693, GC_00001097, GC_00001563, GC_00001956, GC_00002442, GC_00003190	1	1	1	1
Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	0	1	1	NA	COG1396	GC_00000006, GC_00000162, GC_00000570, GC_00000939, GC_00001139, GC_00001682, GC_00001872, GC_00002074, GC_00002325, GC_00003117, GC_00003854	1	1	1	1
Dihydroorotase or related cyclic amidohydrolase (AllB) (PDB:1J79)	0	1	1	NA	COG0044	GC_00000509, GC_00001256, GC_00003337, GC_00004146	1	1	1	1
7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily (Maf) (PDB:2P5X) (PUBMED:24210219)	0	1	1	NA	COG0424	GC_00002937	1	1	1	1
Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family (SGA1) (PDB:1AGM)	0	1	1	NA	COG3387	GC_00002596, GC_00003051	1	1	1	1
Cytochrome P450 (CypX) (PDB:3A4Z)	0	1	1	NA	COG2124	GC_00002811, GC_00003371, GC_00003544	1	1	1	1
Hydroxyacyl-ACP dehydratase HTD2, hotdog domain (HTD2) (PUBMED:10781606)	0	1	1	NA	COG3777	GC_00000493	1	1	1	1
Antibiotic biosynthesis monooxygenase (ABM) superfamily enzyme	0	1	1	NA	COG3224	GC_00001969	1	1	1	1
NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)	0	1	1	NA	COG0604	GC_00002151, GC_00002397, GC_00002689, GC_00002722, GC_00002902	1	1	1	1
Site-specific recombinase XerD (XerD) (PDB:1A0P)	0	1	1	NA	COG4974	GC_00000994, GC_00002328, GC_00002987, GC_00003214, GC_00003816	1	1	1	1
Peptodoglycan polymerase FtsW/RodA/SpoVE (FtsW) (PDB:6BAR) (PUBMED:30692671)	0	1	1	NA	COG0772	GC_00000079, GC_00000358	1	1	1	1
cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases (Crp) (PDB:1FT9)	0	1	1	NA	COG0664	GC_00000965	1	1	1	1
dTDP-D-glucose 4,6-dehydratase (RfbB) (PDB:1G1A)	0	1	1	NA	COG1088	GC_00000191, GC_00000577	1	1	1	1
Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)	0	1	1	NA	COG0589	GC_00000019, GC_00000024, GC_00000287, GC_00000687, GC_00000960, GC_00001231, GC_00001340, GC_00001765, GC_00002100, GC_00002723	1	1	1	1
Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters (YgfZ) (PDB:1NRK) (PUBMED:27941785;22081392)	0	1	1	NA	COG0354	GC_00003373	1	1	1	1
Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH (HisH) (PDB:1OX4)	0	1	1	NA	COG0118	GC_00003328	1	1	1	1
Carbon monoxide dehydrogenase subunit CoxG (CoxG) (PDB:2NS9)	0	1	1	NA	COG3427	GC_00002030, GC_00003293	1	1	1	1
Isochorismate synthase EntC (MenF) (PDB:5JXZ)	0	1	1	NA	COG1169	GC_00001806	1	1	1	1
N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3)	0	1	1	NA	COG0002	GC_00002458	1	1	1	1
Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)	0	1	1	NA	COG2423	GC_00002557	1	1	1	1
Succinyl-CoA synthetase, beta subunit (SucC) (PDB:1SCU)	0	1	1	NA	COG0045	GC_00003088	1	1	1	1
Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) (OsmF) (PDB:4WEP)	0	1	1	NA	COG1732	GC_00001299	1	1	1	1
Tellurite resistance membrane protein TerC (TerC)	0	1	1	NA	COG0861	GC_00001273	1	1	1	1
Predicted ester cyclase (PDB:3EHC)	0	1	1	NA	COG5485	GC_00003341	1	1	1	1
